epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
42,50990,0.42103,0.52004,0.28326,0.86982,0,0.98782,0.97917,0.99255,0.79847,0.95183,0.96181,0.95197,0.77648,0.44529,0.31074,0.25618,0.85638,0,0.000848969,0.000848969,0.000848969
43,52197.6,0.41916,0.5109,0.27822,0.86883,0,0.98877,0.98611,0.98603,0.7798,0.96201,0.96181,0.94884,0.76379,0.41193,0.32276,0.2368,0.84452,0,0.000834822,0.000834822,0.000834822
44,53406.2,0.40349,0.48172,0.26977,0.87452,0,0.98619,0.985,0.9893,0.79998,0.95771,0.95754,0.94592,0.76543,0.42477,0.28343,0.24129,0.85358,0,0.000820675,0.000820675,0.000820675
45,54614.6,0.41182,0.49576,0.27354,0.86951,0,0.98167,0.98958,0.99,0.8021,0.94259,0.95139,0.93808,0.75232,0.45369,0.27837,0.24581,0.87092,0,0.000806528,0.000806528,0.000806528
46,55820.8,0.4279,0.49728,0.27799,0.86726,0,0.98972,0.98958,0.99007,0.80444,0.95759,0.95833,0.95792,0.79473,0.44798,0.26488,0.23087,0.85899,0,0.00079238,0.00079238,0.00079238
47,57028.4,0.40137,0.50281,0.26436,0.86783,0,0.99054,0.98958,0.99318,0.81093,0.95831,0.95833,0.95062,0.77944,0.41508,0.32247,0.27119,0.84843,0,0.000778233,0.000778233,0.000778233
48,58236.7,0.40902,0.50187,0.26195,0.86587,0,0.99248,0.98958,0.99346,0.80132,0.94239,0.94097,0.92294,0.75197,0.43495,0.29694,0.27262,0.8464,0,0.000764086,0.000764086,0.000764086
49,59441.7,0.40768,0.51886,0.26775,0.85996,0,0.98605,0.98611,0.99289,0.81539,0.94315,0.94444,0.93435,0.77061,0.41315,0.29155,0.22756,0.86044,0,0.000749939,0.000749939,0.000749939
50,60657.1,0.41385,0.5232,0.26853,0.86284,0,0.98886,0.98264,0.98858,0.79556,0.96349,0.95833,0.95792,0.76746,0.46788,0.28325,0.27734,0.8641,0,0.000735792,0.000735792,0.000735792
51,61863.3,0.41513,0.50969,0.27258,0.86347,0,0.99271,0.98144,0.98682,0.79829,0.96693,0.95785,0.95171,0.76539,0.42008,0.28536,0.25608,0.85395,0,0.000721645,0.000721645,0.000721645
52,63073.8,0.40024,0.52158,0.26585,0.86876,0,0.99156,0.99306,0.99443,0.80024,0.95451,0.95486,0.95788,0.78442,0.41017,0.27674,0.23645,0.84778,0,0.000707498,0.000707498,0.000707498
53,64283.3,0.39196,0.49425,0.25778,0.86112,0,0.99347,0.98958,0.99381,0.8006,0.96135,0.95833,0.9484,0.78647,0.43449,0.27506,0.25329,0.8564,0,0.000693351,0.000693351,0.000693351
54,65492.8,0.39769,0.48609,0.26108,0.86246,0,0.98609,0.98611,0.988,0.8081,0.96152,0.95482,0.95026,0.79145,0.44679,0.26874,0.27131,0.85915,0,0.000679204,0.000679204,0.000679204
55,66707.5,0.41328,0.48212,0.26802,0.86842,0,0.98876,0.98958,0.99361,0.81169,0.95314,0.95486,0.95283,0.79341,0.41524,0.3082,0.24465,0.85454,0,0.000665057,0.000665057,0.000665057
56,67918.8,0.39039,0.512,0.2569,0.8666,0,0.99113,0.99306,0.99229,0.81137,0.96742,0.96768,0.96347,0.81818,0.39293,0.2593,0.21754,0.84589,0,0.000650909,0.000650909,0.000650909
57,69126.2,0.39021,0.49171,0.25229,0.8652,0,0.99007,0.98611,0.98947,0.80389,0.96437,0.96181,0.95588,0.79285,0.39757,0.28139,0.22221,0.84651,0,0.000636762,0.000636762,0.000636762
58,70333.2,0.3912,0.47438,0.24517,0.85558,0,0.98709,0.98611,0.99364,0.8053,0.95141,0.95139,0.94645,0.77822,0.39061,0.27356,0.21038,0.84528,0,0.000622615,0.000622615,0.000622615
59,71546.6,0.38073,0.47028,0.24525,0.85698,0,0.98868,0.98264,0.98788,0.80099,0.95176,0.94792,0.93799,0.77697,0.40544,0.25954,0.20732,0.84623,0,0.000608468,0.000608468,0.000608468
60,72755.1,0.38506,0.47257,0.24533,0.85632,0,0.98897,0.98611,0.99023,0.8072,0.96385,0.96181,0.96403,0.78611,0.40916,0.26576,0.20526,0.84837,0,0.000594321,0.000594321,0.000594321
