epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
56,146829,0.31829,0.4266,0.2291,0.86109,0,0.9824,0.99406,0.98852,0.95886,0.9824,0.99406,0.98852,0.9404,0.25707,0.35447,0.19406,0.80131,0,0.000759318,0.000759318,0.000759318
57,149437,0.31599,0.41393,0.22577,0.86099,0,0.98474,0.99085,0.9879,0.9605,0.98474,0.99085,0.9879,0.93909,0.24188,0.35672,0.17744,0.80205,0,0.000742815,0.000742815,0.000742815
58,152048,0.31917,0.41677,0.22572,0.86337,0,0.98099,0.99695,0.99327,0.96282,0.98099,0.99695,0.99327,0.94178,0.26327,0.35204,0.17756,0.80577,0,0.000726312,0.000726312,0.000726312
59,154658,0.321,0.42476,0.22931,0.8636,0,0.98507,0.99226,0.99281,0.96252,0.98507,0.99226,0.99281,0.94751,0.26001,0.35177,0.18858,0.80516,0,0.000709809,0.000709809,0.000709809
60,157273,0.30878,0.40436,0.22258,0.85831,0,0.98729,0.99695,0.99288,0.96502,0.98729,0.99695,0.99288,0.94478,0.24336,0.36553,0.18288,0.80047,0,0.000693305,0.000693305,0.000693305
61,159884,0.31714,0.41484,0.22686,0.86288,0,0.98495,0.99354,0.99345,0.96243,0.98495,0.99354,0.99345,0.94828,0.25416,0.3525,0.18227,0.80276,0,0.000676802,0.000676802,0.000676802
62,162498,0.30982,0.40921,0.22559,0.85905,0,0.98436,0.99638,0.99093,0.96098,0.98436,0.99638,0.99093,0.94238,0.25035,0.34709,0.18238,0.80244,0,0.000660299,0.000660299,0.000660299
63,165108,0.31279,0.40898,0.22179,0.85996,0,0.97695,0.98842,0.99379,0.96354,0.97695,0.98842,0.99379,0.94913,0.25784,0.35427,0.18272,0.80461,0,0.000643795,0.000643795,0.000643795
64,167727,0.32156,0.42724,0.22326,0.85782,0,0.98773,0.98171,0.99413,0.96715,0.98773,0.98171,0.99413,0.94232,0.24113,0.37188,0.169,0.79827,0,0.000627292,0.000627292,0.000627292
65,170342,0.30585,0.41182,0.2166,0.85174,0,0.98535,0.9838,0.99411,0.96887,0.98535,0.9838,0.99411,0.94926,0.24407,0.36137,0.18422,0.79891,0,0.000610789,0.000610789,0.000610789
66,172959,0.31281,0.41443,0.22432,0.85819,0,0.97757,0.99693,0.99221,0.96507,0.97757,0.99693,0.99221,0.94663,0.24209,0.35936,0.18946,0.79708,0,0.000594286,0.000594286,0.000594286
67,175572,0.31105,0.41135,0.21811,0.85964,0,0.98366,0.9939,0.99254,0.96332,0.98366,0.9939,0.99254,0.94421,0.25271,0.35096,0.18147,0.80165,0,0.000577782,0.000577782,0.000577782
68,178188,0.29715,0.39482,0.21016,0.85807,0,0.98714,0.99085,0.99168,0.96604,0.98714,0.99085,0.99168,0.94517,0.24761,0.35634,0.18008,0.80041,0,0.000561279,0.000561279,0.000561279
69,180804,0.30827,0.40651,0.21748,0.85977,0,0.98847,0.99348,0.99151,0.9646,0.98847,0.99348,0.99151,0.94721,0.24812,0.34872,0.17134,0.79798,0,0.000544776,0.000544776,0.000544776
70,183422,0.2979,0.39821,0.21046,0.85346,0,0.98143,0.99367,0.99218,0.96518,0.98143,0.99367,0.99218,0.94676,0.25993,0.354,0.18123,0.80368,0,0.000528272,0.000528272,0.000528272
71,186038,0.30346,0.39855,0.21552,0.85422,0,0.98179,0.9939,0.99318,0.96531,0.98179,0.9939,0.99318,0.94595,0.25053,0.35709,0.17358,0.79956,0,0.000511769,0.000511769,0.000511769
72,188661,0.30038,0.40425,0.20798,0.8543,0,0.98133,0.99609,0.99405,0.96664,0.98133,0.99609,0.99405,0.94983,0.24532,0.34523,0.16742,0.79775,0,0.000495266,0.000495266,0.000495266
73,191281,0.29623,0.39391,0.2111,0.85381,0,0.98162,0.9939,0.99363,0.96957,0.98162,0.9939,0.99363,0.94469,0.23567,0.3582,0.16986,0.79564,0,0.000478762,0.000478762,0.000478762
74,193894,0.30368,0.41201,0.20946,0.85726,0,0.98113,0.9939,0.99389,0.96635,0.98113,0.9939,0.99389,0.94584,0.24228,0.35656,0.17234,0.79808,0,0.000462259,0.000462259,0.000462259
75,196512,0.29891,0.40015,0.20688,0.8529,0,0.98123,0.9939,0.99332,0.96418,0.98123,0.9939,0.99332,0.95058,0.25418,0.35451,0.16367,0.7991,0,0.000445756,0.000445756,0.000445756
76,199134,0.30113,0.41309,0.20764,0.85472,0,0.98391,0.99695,0.99309,0.96586,0.98391,0.99695,0.99309,0.94677,0.24016,0.3551,0.16161,0.79713,0,0.000429253,0.000429253,0.000429253
77,201755,0.29163,0.38842,0.20247,0.85373,0,0.98085,0.99623,0.99317,0.97076,0.98085,0.99623,0.99317,0.94952,0.23109,0.35781,0.15416,0.79479,0,0.000412749,0.000412749,0.000412749
78,204381,0.28447,0.38743,0.19744,0.85098,0,0.9852,0.99559,0.98928,0.96256,0.9852,0.99559,0.98928,0.94469,0.24062,0.35816,0.16664,0.79778,0,0.000396246,0.000396246,0.000396246
